Tabelle: 61241-0002
Producer price index for industrial products: Germany,;;;;
months;;;;
Index of producer prices of industrial products;;;;;;;
Germany;;;;;;;
;;Producer price index for industrial products;Producer price index for industrial products;Change on previous month;Change on previous month;Change on previous year's month;Change on previous year's month
;;2021=100;2021=100;in (%);in (%);in (%);in (%)
1992;May;67.5;e;0.1;e;2.0;e
1992;June;67.6;e;0.1;e;2.0;e
1992;July;67.5;e;-0.1;e;1.2;e
1992;August;67.4;e;-0.1;e;1.0;e
1992;September;67.4;e;-;;0.7;e
1992;October;67.3;e;-0.1;e;0.6;e
1992;November;67.3;e;-;;0.6;e
1992;December;67.1;e;-0.3;e;0.6;e
1993;January;67.4;e;0.4;e;1.0;e
1993;February;67.3;e;-0.1;e;0.6;e
1993;March;67.3;e;-;;0.3;e
1993;April;67.4;e;0.1;e;-;
1993;May;67.4;e;-;;-0.1;e
1993;June;67.3;e;-0.1;e;-0.4;e
1993;July;67.4;e;0.1;e;-0.1;e
1993;August;67.3;e;-0.1;e;-0.1;e
1993;September;67.2;e;-0.1;e;-0.3;e
1993;October;67.1;e;-0.1;e;-0.3;e
1993;November;67.1;e;-;;-0.3;e
1993;December;67.0;e;-0.1;e;-0.1;e
1994;January;67.4;e;0.6;e;-;
1994;February;67.4;e;-;;0.1;e
1994;March;67.5;e;0.1;e;0.3;e
1994;April;67.5;e;-;;0.1;e
1994;May;67.6;e;0.1;e;0.3;e
1994;June;67.6;e;-;;0.4;e
1994;July;67.6;e;-;;0.3;e
1994;August;67.7;e;0.1;e;0.6;e
1994;September;67.6;e;-0.1;e;0.6;e
1994;October;67.7;e;0.1;e;0.9;e
1994;November;68.1;e;0.6;e;1.5;e
1994;December;68.2;e;0.1;e;1.8;e
1995;January;68.5;e;0.4;e;1.6;e
1995;February;68.7;e;0.3;e;1.9;e
1995;March;68.8;e;0.1;e;1.9;e
1995;April;68.9;e;0.1;e;2.1;e
1995;May;68.9;e;-;;1.9;e
1995;June;68.9;e;-;;1.9;e
1995;July;68.9;e;-;;1.9;e
1995;August;68.9;e;-;;1.8;e
1995;September;69.0;e;0.1;e;2.1;e
1995;October;68.9;e;-0.1;e;1.8;e
1995;November;68.9;e;-;;1.2;e
1995;December;68.9;e;-;;1.0;e
1996;January;67.9;e;-1.5;e;-0.9;e
1996;February;67.9;e;-;;-1.2;e
1996;March;67.8;e;-0.1;e;-1.5;e
1996;April;67.9;e;0.1;e;-1.5;e
1996;May;67.9;e;-;;-1.5;e
1996;June;67.8;e;-0.1;e;-1.6;e
1996;July;67.8;e;-;;-1.6;e
1996;August;67.8;e;-;;-1.6;e
1996;September;68.0;e;0.3;e;-1.4;e
1996;October;68.3;e;0.4;e;-0.9;e
1996;November;68.3;e;-;;-0.9;e
1996;December;68.3;e;-;;-0.9;e
1997;January;68.4;e;0.1;e;0.7;e
1997;February;68.4;e;-;;0.7;e
1997;March;68.3;e;-0.1;e;0.7;e
1997;April;68.6;e;0.4;e;1.0;e
1997;May;68.8;e;0.3;e;1.3;e
1997;June;68.8;e;-;;1.5;e
1997;July;68.9;e;0.1;e;1.6;e
1997;August;69.1;e;0.3;e;1.9;e
1997;September;69.1;e;-;;1.6;e
1997;October;69.1;e;-;;1.2;e
1997;November;69.1;e;-;;1.2;e
1997;December;69.0;e;-0.1;e;1.0;e
1998;January;68.9;e;-0.1;e;0.7;e
1998;February;68.9;e;-;;0.7;e
1998;March;68.9;e;-;;0.9;e
1998;April;68.9;e;-;;0.4;e
1998;May;68.9;e;-;;0.1;e
1998;June;68.8;e;-0.1;e;-;
1998;July;68.6;e;-0.3;e;-0.4;e
1998;August;68.5;e;-0.1;e;-0.9;e
1998;September;68.4;e;-0.1;e;-1.0;e
1998;October;68.1;e;-0.4;e;-1.4;e
1998;November;67.7;e;-0.6;e;-2.0;e
1998;December;67.6;e;-0.1;e;-2.0;e
1999;January;67.3;e;-0.4;e;-2.3;e
1999;February;67.2;e;-0.1;e;-2.5;e
1999;March;67.2;e;-;;-2.5;e
1999;April;67.6;e;0.6;e;-1.9;e
1999;May;67.6;e;-;;-1.9;e
1999;June;67.7;e;0.1;e;-1.6;e
1999;July;67.9;e;0.3;e;-1.0;e
1999;August;68.0;e;0.1;e;-0.7;e
1999;September;68.1;e;0.1;e;-0.4;e
1999;October;68.3;e;0.3;e;0.3;e
