observation_date,IRSTCI01DEM156N
2018-12-01,-0.3605000000
2019-01-01,-0.3670000000
2019-02-01,-0.3670000000
2019-03-01,-0.3679000000
2019-04-01,-0.3670000000
2019-05-01,-0.3666000000
2019-06-01,-0.3616000000
2019-07-01,-0.3668000000
2019-08-01,-0.3612000000
2019-09-01,-0.4032000000
2019-10-01,-0.5495977778
2019-11-01,-0.5391500000
2019-12-01,-0.5402010000
2020-01-01,-0.5374213636
2020-02-01,-0.5382235000
2020-03-01,-0.5356286364
2020-04-01,-0.5354685000
2020-05-01,-0.5401920000
2020-06-01,-0.5444650000
2020-07-01,-0.5495556522
2020-08-01,-0.5520876190
2020-09-01,-0.5529327273
2020-10-01,-0.5546409091
2020-11-01,-0.5562161905
2020-12-01,-0.5563490909
2021-01-01,-0.5657645000
2021-02-01,-0.5635210000
2021-03-01,-0.5637665217
2021-04-01,-0.5660555000
2021-05-01,-0.5647061905
2021-06-01,-0.5641259091
2021-07-01,-0.5665222727
2021-08-01,-0.5681000000
2021-09-01,-0.5693604545
2021-10-01,-0.5704128571
2021-11-01,-0.5732372727
2021-12-01,-0.5763721739
2022-01-01,-0.5794657143
2022-02-01,-0.5763330000
2022-03-01,-0.5777030435
2022-04-01,-0.5837073684
2022-05-01,-0.5847413636
2022-06-01,-0.5826240909
2022-07-01,-0.5710642857
2022-08-01,-0.0946521739
2022-09-01,0.2545840909
2022-10-01,0.6553785714
2022-11-01,1.2666195455
2022-12-01,1.5039647619
2023-01-01,1.9013118182
2023-02-01,2.2006420000
2023-03-01,2.5083639130
2023-04-01,2.8990811111
2023-05-01,3.0463090909
2023-06-01,3.2045904545
2023-07-01,3.4032633333
2023-08-01,3.6103665217
2023-09-01,3.7125219048
2023-10-01,3.9010604545
2023-11-01,3.9027436364
2023-12-01,3.9034421053
2024-01-01,3.9026495455
2024-02-01,3.9086757143
2024-03-01,3.9073110000
2024-04-01,3.9082785714
2024-05-01,3.9069627273
2024-06-01,3.7860320000
2024-07-01,3.6630886957
2024-08-01,3.6643559091
2024-09-01,3.5920923810
2024-10-01,3.3713939130
2024-11-01,3.1649666667
2024-12-01,3.1026865000
