date,world_oil_price,world_prod,world_inv,world_ip,ip_de,import_price_de,ppi_de,cpi_de
1995-12,-214.98277532277916,1105.4546486893069,768.4148764081616,428.3274375204411,431.88205587700895,433.4672938290411,423.2656178019613,426.549281841793
1996-01,-215.9484249353372,1105.343216816334,767.6332271536111,428.133630779904,430.54155323020416,433.990170837321,421.80360345646505,426.8297869345539
1996-02,-215.30533590230823,1105.9701545665268,768.3999337099789,428.10456813836987,429.31954209672665,433.990170837321,421.80360345646505,427.3884476054178
1996-03,-205.8441724486089,1105.7356039571553,767.6992774083482,428.6027029770678,431.34800921387716,434.3805421853684,421.65621949463497,427.3884476054178
1996-04,-201.07476685506214,1105.5026043338644,767.4477837967278,429.00422308406013,432.280727501391,434.7693955593376,421.80360345646505,427.3884476054178
1996-05,-210.01141124845554,1105.502999520585,767.7816616405665,429.6668753542571,433.3361462692601,434.7693955593376,421.80360345646505,427.5276264727001
1996-06,-213.87269202872687,1106.0068861599088,768.3383967131174,429.8122470748491,433.4672938290411,433.990170837321,421.65621949463497,427.6666119016055
1996-07,-208.22480239403228,1106.142526648905,767.9439681292988,430.12397543392103,432.80982926483256,433.4672938290411,421.65621949463497,427.80540442909034
1996-08,-203.66063079108164,1105.6253374538994,768.7661675340499,430.53878666022104,433.990170837321,433.3361462692601,421.65621949463497,427.80540442909034
1996-09,-194.14180343235466,1106.3657674502178,767.9055966564147,431.03872284870954,434.5103280569283,433.990170837321,421.9507705176107,427.80540442909034
1996-10,-187.91616822669397,1106.9239040145756,768.0174144063133,431.3238161938939,432.9416684401584,434.7693955593376,422.3909766576744,427.80540442909034
1996-11,-194.20110182742332,1107.6212230014874,767.6880095276266,431.7775272302285,434.12046401536264,434.7693955593376,422.3909766576744,427.6666119016055
1996-12,-190.0688044081105,1108.5041880213248,767.0264896056798,432.31280458426136,434.25058765115983,435.5425952876702,422.3909766576744,428.08241291647187
1997-01,-191.27156645239842,1108.4027847508028,768.1889535520955,432.63672437962236,431.07991253855135,436.56431554233575,422.5372824628505,428.90886390146125
1997-02,-203.59431069761558,1108.9493159134029,767.7978259817319,433.19536480394413,433.4672938290411,437.32381286408025,422.5372824628505,429.0459441148391
1997-03,-212.26652498800127,1108.9277801540313,768.6332139136981,434.0009134154354,434.89867805956817,437.32381286408025,422.3909766576744,429.0459441148391
1997-04,-220.89250316329378,1109.7274557288313,768.5774516184599,434.537081935606,434.5103280569283,437.19762988203803,422.829253473184,428.90886390146125
1997-05,-212.9057562722664,1108.7320657763566,768.3289088524485,434.75806244627205,433.3361462692601,437.7014092850337,423.1203744939298,429.1828366755733
1997-06,-220.96611423772282,1107.5459033091975,767.2816494556685,435.65250918626646,436.3098624788363,437.44983682530903,423.1203744939298,429.1828366755733
1997-07,-216.20644663577076,1108.2323763226693,766.9859276731356,436.0142923423874,437.57570216602863,438.2026634673881,423.2656178019613,430.13587316064263
1997-08,-215.69997760257098,1109.5771406485508,766.3985687514512,436.4554507152293,434.25058765115983,439.197696552705,423.5554730773624,430.13587316064263
1997-09,-216.70396009978208,1110.1078435655347,766.9142519002675,436.95753126980514,435.02779363593015,438.45235148724686,423.5554730773624,430.00027991952913
1997-10,-209.52940860989855,1110.8866867262404,767.1739394772367,437.6308693360838,436.56431554233575,438.2026634673881,423.5554730773624,429.8645025734831
1997-11,-213.23962095255075,1110.667845125353,769.1360711745357,437.4808018039643,436.94478524670217,437.9523504455763,423.5554730773624,429.8645025734831
1997-12,-224.2615088068282,1110.3867309591815,768.8691995429713,437.41680870159945,437.32381286408025,437.9523504455763,423.41065045972596,430.13587316064263
1998-01,-236.69590186247018,1112.2085042904678,768.8010211315634,437.2039933159309,438.07758527722285,437.9523504455763,423.2656178019613,430.13587316064263
1998-02,-244.35514641060854,1112.7506483921534,768.5017652020761,437.9869810399724,437.9523504455763,437.44983682530903,423.2656178019613,430.27128279541563
1998-03,-251.49841050252775,1112.5776585897836,767.8099425620015,437.6759412180762,439.0738575275903,436.8181227851829,423.2656178019613,430.13587316064263
1998-04,-248.39206994986154,1112.3744891155197,769.3013083006368,437.60139697783666,438.07758527722285,436.56431554233575,423.2656178019613,430.27128279541563
1998-05,-242.6846633493633,1111.5795869746737,770.5439365709799,437.8444100053241,438.7014176184921,436.05476029967576,423.2656178019613,430.406509320417
1998-06,-259.02671654458265,1111.168178408696,769.0111896033676,437.6428745688712,438.2026634673881,435.02779363593015,423.1203744939298,430.54155323020416
1998-07,-260.3425250023338,1110.974469577211,769.1554691036982,437.53891552636014,440.1829261970061,434.5103280569283,422.829253473184,430.94559418390463
1998-08,-261.8822799058694,1109.481574970398,769.3256136305503,437.88041981979865,438.2026634673881,433.729074083249,422.68337452681794,430.67641501733345
1998-09,-250.604594984983,1109.6131780164285,768.6249300193564,438.1154754696974,437.44983682530903,432.9416684401584,422.5372824628505,430.406509320417
1998-10,-255.7654492285238,1109.7931703090617,770.146959885252,438.41092145981213,437.9523504455763,431.88205587700895,422.0977213155467,430.27128279541563
1998-11,-269.8950957247097,1111.0619810527821,770.0994838036391,438.5734252954922,436.56431554233575,431.6153890523174,421.5086179918229,430.27128279541563
1998-12,-281.78813602557057,1110.798272040647,769.9097287272255,438.4538976099577,436.69129968638333,431.07991253855135,421.36079830489183,430.406509320417
1999-01,-269.6280033532056,1111.1509099630475,770.9973928814838,439.40251141626845,438.9498649512583,430.94559418390463,420.9160236650682,430.27128279541563
1999-02,-277.48986132431276,1111.6302400524478,769.6588195938065,438.82569359772816,436.56431554233575,431.07991253855135,420.7673247529104,430.406509320417
1999-03,-257.8204292996552,1111.1505364775594,769.6416490688224,439.6277359031184,437.7014092850337,431.88205587700895,420.7673247529104,430.406509320417
1999-04,-238.41861772554284,1108.9741297430028,769.3416351851554,439.68823648536153,438.07758527722285,432.5456283185487,421.36079830489183,430.94559418390463
1999-05,-238.87206214494734,1108.6799840684425,769.7427798734758,440.6130293377151,438.45235148724686,432.9416684401584,421.36079830489183,430.94559418390463
1999-06,-234.8187572149842,1107.0711617861557,769.7012484331066,440.675046628913,438.9498649512583,433.20482648676403,421.5086179918229,431.07991253855135
1999-07,-216.75551237366074,1109.3987504207232,770.2486469909502,441.36707611147636,439.4449154672439,433.990170837321,421.80360345646505,431.48178849804316
1999-08,-211.19202220090227,1109.2309916344348,769.6162953374766,441.79819259818566,440.1829261970061,434.63994570307307,421.9507705176107,431.48178849804316
1999-09,-200.74812854214764,1109.2982658931357,768.9943335561196,442.4452063006794,439.8146016553765,435.5425952876702,422.0977213155467,431.21405072097156
1999-10,-203.35165870562537,1110.066139622156,768.633345307799,443.02240041276207,440.67192472642535,436.05476029967576,422.3909766576744,431.07991253855135
1999-11,-192.44089976703373,1110.0346009802615,768.0566992436092,443.9625389049705,440.4277243608702,437.32381286408025,422.3909766576744,431.34800921387716
1999-12,-189.12132931704917,1108.8032247425315,767.8148437941603,444.88971221631226,440.67192472642535,439.0738575275903,422.5372824628505,431.6153890523174
2000-01,-189.26017569853695,1110.4203258270686,767.5981289929686,444.64462815586893,440.1829261970061,439.6915247167632,422.9749199228304,431.88205587700895
2000-02,-181.1482099724064,1111.306904870287,767.9027988241733,445.0088589659158,441.7635062141249,440.9155302062135,422.9749199228304,431.88205587700895
2000-03,-182.78412543255058,1111.354520655797,767.1212801849924,445.51036380618945,442.0044701861403,441.7635062141249,423.1203744939298,431.88205587700895
