DATAFLOW,BBK_STD_FREQ,BBK_STD_AREA,BBK_STD_ADJUSTMENT,BBK_DOES_CONCEPT,BBK_DOES_CLASSIFICATION,BBK_DOES_PROCESSING,BBK_PRICEUNIT,BBK_DO_BASIS,BBK_DO_SUFFIX,TIME_PERIOD,OBS_VALUE,TIME_FORMAT,BBK_DECIMALS,BBK_ID,BBK_UNIT,BBK_UNIT_MULT,BBK_TITLE_ENG,BBK_UMR_ENG,WEB_CATEGORY,BBK_COMM_SRC_ENG,BBK_DIFF,BBK_DIFF_Y,OBS_STATUS
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1993-02,73.4,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-1.2,-10.4,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1993-03,73.3,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-0.1,-8.6,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1993-04,72.8,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-0.7,-8.8,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1993-05,72.6,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-0.3,-8.2,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1993-06,72.5,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-0.1,-7.3,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1993-07,70.9,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-2.2,-8.0,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1993-08,73.8,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,4.1,-4.7,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1993-09,73.2,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-0.8,-4.4,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1993-10,73.4,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,0.3,-4.4,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1993-11,72.8,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-0.8,-3.7,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1993-12,73.4,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,0.8,-2.3,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1994-01,73.7,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,0.4,-0.8,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1994-02,74.5,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,1.1,1.5,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1994-03,74.6,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,0.1,1.8,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1994-04,75.2,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,0.8,3.3,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1994-05,75.2,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,0.0,3.6,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1994-06,75.4,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,0.3,4.0,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1994-07,74.9,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,-0.7,5.6,
BBK:BBDE1(1.0),M,DE,Y,BAA1,A2P000000,G,C,I21,A,1994-08,75.3,P1M,1,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,2021=100,0,"Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",Average,KPPR,Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,0.5,2.0,
